artist,song,video
 M83 , Run Into Flowers,Alumni Boardshop - Threepeat
 The Beatles , Within You / Without You,Alumni Boardshop - Threepeat
 The Temptations , Get Ready,Alumni Boardshop - Threepeat
 Daniel Lebron , Jam 4,"Cliché - Clé ""A Live and Unplugged video"""
 Daniel Lebron , Guitar Part,"Cliché - Clé ""A Live and Unplugged video"""
 13th Floor Elevators , With You,Osiris - The Capital Tour
 The Doors , Take It As It Comes,Shape Deuce
 DJ Vlad & Dirty Harry , What Up Gangsta (Dirty Harry Blend),Shape Deuce
 Cunninlynguists ," The Light (instrumental)
",Ketchup Kids Robotix
 Broken Glass Heroues ," L.U.V.
",Ketchup Kids Robotix
 Dorrough , Ice Cream Paint Job,Alumni Boardshop - Threepeat
 The Black Keys , Just Got To Be,Alumni Boardshop - Threepeat
 Coming Soon , Moonchild,"Cliché - Clé ""A Live and Unplugged video"""
 L'Orchidée d'Hawaï , Gorocki Na Ka Gnocchi,"Cliché - Clé ""A Live and Unplugged video"""
 The Haunted , 125,Osiris - The Capital Tour
 The Kinks , 20th Century Man,Osiris - The Capital Tour
 Jackson 5 , I'll Be There,Shape Deuce
 Led Zeppelin , Trampled Under Foot,Shape Deuce
 The Cure , It's Not You,Shape Deuce
 Tokyo Police Club , Your English Is Good,Any Day Now
 Wolf Parade , Dear Sons and Daughters of Hungry Ghosts,Any Day Now
 Bobby Pickett and The Crypt , Kickers,Scarecrow - Disturb Not The Sleep of Death
 Baxter Dury ," Cocaine Man
",Ketchup Kids Robotix
 DJ Muggs vs. GZA , Advance Pawns (feat. Raekwon & RZA),Ketchup Kids Robotix
 Belle & Sebastian , Is It Wicked Not To Care,Ketchup Kids Robotix
 Slighty Stoopid , Zeplike,Alumni Boardshop - Threepeat
 Curtis Mayfield and the Impressions , We're a Winner,Alumni Boardshop - Threepeat
 L'Orchidée d'Hawaï , 7:40,"Cliché - Clé ""A Live and Unplugged video"""
 L'Orchidée d'Hawaï , Smierc Ministra,"Cliché - Clé ""A Live and Unplugged video"""
 Free The Robots , Session Two,Calligraphy 2: The Pigeon Theory
  Metallica , Fade To Black,DC - Nyjah Fade To Black
 Tom Jones , Looking Out My Window,Osiris - The Capital Tour
 Donovan , Hurdy Gurdy Man,Shape Deuce
 Frank Zappa , Willie the Pimp,Shape Deuce
